Term:加油,Count:1411,TF:0.02522615,IDF:1.24646547,TF×IDF:0.03144353
Term:中国,Count:1299,TF:0.02322379,IDF:1.15175072,TF×IDF:0.02674802
Term:美国,Count:1122,TF:0.02005935,IDF:1.21142272,TF×IDF:0.02430035
Term:致敬,Count:646,TF:0.01154932,IDF:1.55858444,TF×IDF:0.01800059
Term:疫情,Count:547,TF:0.00977938,IDF:1.81686246,TF×IDF:0.01776779
Term:🙏,Count:476,TF:0.00851002,IDF:2.06673993,TF×IDF:0.01758801
Term:希望,Count:632,TF:0.01129903,IDF:1.52962074,TF×IDF:0.01728323
Term:吉林,Count:332,TF:0.00593556,IDF:2.84489118,TF×IDF:0.01688604
Term:开学,Count:383,TF:0.00684735,IDF:2.20806908,TF×IDF:0.01511943
Term:特朗普,Count:436,TF:0.00779490,IDF:1.73094783,TF×IDF:0.01349256
Term:国家,Count:443,TF:0.00792004,IDF:1.51583246,TF×IDF:0.01200546
Term:平安,Count:335,TF:0.00598920,IDF:1.94180119,TF×IDF:0.01162983
Term:病毒,Count:301,TF:0.00538134,IDF:2.09156351,TF×IDF:0.01125541
Term:祖国,Count:347,TF:0.00620374,IDF:1.75381071,TF×IDF:0.01088018
Term:辛苦了,Count:342,TF:0.00611434,IDF:1.75381071,TF×IDF:0.01072341
Term:支持,Count:405,TF:0.00724067,IDF:1.40819858,TF×IDF:0.01019631
Term:武汉,Count:238,TF:0.00425501,IDF:2.20806908,TF×IDF:0.00939536
Term:香港,Count:284,TF:0.00507741,IDF:1.73094783,TF×IDF:0.00878873
Term:湖北,Count:201,TF:0.00359352,IDF:2.41892245,TF×IDF:0.00869244
Term:愿,Count:236,TF:0.00421925,IDF:2.04325883,TF×IDF:0.00862103
Term:👨,Count:144,TF:0.00257446,IDF:3.32201243,TF×IDF:0.00855239
Term:🦳,Count:144,TF:0.00257446,IDF:3.32201243,TF×IDF:0.00855239
Term:白衣天使,Count:165,TF:0.00294990,IDF:2.71995244,TF×IDF:0.0080236
Term:结束,Count:190,TF:0.00339686,IDF:2.24283119,TF×IDF:0.00761858
Term:关注,Count:258,TF:0.00461257,IDF:1.61444226,TF×IDF:0.00744674
Term:厉害,Count:179,TF:0.00320020,IDF:2.17588440,TF×IDF:0.00696326
Term:👍,Count:157,TF:0.00280687,IDF:2.36776992,TF×IDF:0.00664604
Term:青春,Count:122,TF:0.00218114,IDF:3.02098244,TF×IDF:0.00658919
Term:感谢,Count:180,TF:0.00321807,IDF:2.04325883,TF×IDF:0.00657536
Term:点赞,Count:160,TF:0.00286051,IDF:2.24283119,TF×IDF:0.00641565
Term:期待,Count:216,TF:0.00386169,IDF:1.65925460,TF×IDF:0.00640753
Term:哈哈哈,Count:147,TF:0.00262809,IDF:2.32201243,TF×IDF:0.00610247
Term:英雄,Count:178,TF:0.00318232,IDF:1.90703909,TF×IDF:0.00606881
Term:甩锅,Count:132,TF:0.00235992,IDF:2.54386118,TF×IDF:0.00600331
Term:快递,Count:100,TF:0.00178782,IDF:3.32201243,TF×IDF:0.00593916
Term:世界,Count:166,TF:0.00296778,IDF:1.97958975,TF×IDF:0.00587499
Term:工作,Count:159,TF:0.00284263,IDF:1.97958975,TF×IDF:0.00562725
Term:生命,Count:143,TF:0.00255658,IDF:2.17588440,TF×IDF:0.00556283
