Term:减少,Freq:37,TF:0.00127683,IDF:2.15338485,TF×IDF:0.0027495
Term:上班,Freq:36,TF:0.00124232,IDF:2.20038141,TF×IDF:0.00273358
Term:特朗普,Freq:35,TF:0.00120781,IDF:2.21297054,TF×IDF:0.00267285
Term:平平安安,Freq:35,TF:0.00120781,IDF:2.20038141,TF×IDF:0.00265764
Term:辽宁,Freq:36,TF:0.00124232,IDF:2.13166560,TF×IDF:0.00264821
Term:山西,Freq:35,TF:0.00120781,IDF:2.18814695,TF×IDF:0.00264287
Term:志愿者,Freq:32,TF:0.00110428,IDF:2.38272162,TF×IDF:0.0026312
Term:邢台,Freq:35,TF:0.00120781,IDF:2.15338485,TF×IDF:0.00260088
Term:藁城,Freq:33,TF:0.00113879,IDF:2.28205145,TF×IDF:0.00259878
Term:努力,Freq:34,TF:0.00117330,IDF:2.18814695,TF×IDF:0.00256736
Term:可爱,Freq:33,TF:0.00113879,IDF:2.18814695,TF×IDF:0.00249185
Term:阳性,Freq:32,TF:0.00110428,IDF:2.23929947,TF×IDF:0.00247282
Term:赢,Freq:28,TF:0.00096625,IDF:2.54032947,TF×IDF:0.00245459
Term:祝福,Freq:29,TF:0.00100075,IDF:2.42223016,TF×IDF:0.00242406
Term:居家隔离,Freq:30,TF:0.00103526,IDF:2.26732820,TF×IDF:0.00234729
Term:阴性,Freq:29,TF:0.00100075,IDF:2.32947610,TF×IDF:0.00233124
Term:警察,Freq:38,TF:0.00131133,IDF:1.77132160,TF×IDF:0.0023228
Term:工作人员,Freq:29,TF:0.00100075,IDF:2.31308569,TF×IDF:0.00231484
Term:高风险,Freq:29,TF:0.00100075,IDF:2.29729142,TF×IDF:0.00229903
Term:吉林,Freq:31,TF:0.00106977,IDF:2.12120016,TF×IDF:0.00226921
Term:一线,Freq:29,TF:0.00100075,IDF:2.26732820,TF×IDF:0.00226904
Term:辛苦,Freq:43,TF:0.00148388,IDF:1.52434136,TF×IDF:0.00226194
Term:春节,Freq:29,TF:0.00100075,IDF:2.22593551,TF×IDF:0.00222762
Term:境外输入,Freq:28,TF:0.00096625,IDF:2.29729142,TF×IDF:0.00221975
Term:数字,Freq:27,TF:0.00093174,IDF:2.36423821,TF×IDF:0.00220285
Term:传播,Freq:28,TF:0.00096625,IDF:2.26732820,TF×IDF:0.0021908
Term:无症状感染者,Freq:26,TF:0.00089723,IDF:2.42223016,TF×IDF:0.0021733
Term:爱,Freq:35,TF:0.00120781,IDF:1.78540806,TF×IDF:0.00215643
Term:参加,Freq:27,TF:0.00093174,IDF:2.31308569,TF×IDF:0.00215519
Term:喜歡,Freq:27,TF:0.00093174,IDF:2.29729142,TF×IDF:0.00214048
Term:顺义,Freq:27,TF:0.00093174,IDF:2.28205145,TF×IDF:0.00212628
Term:影响,Freq:26,TF:0.00089723,IDF:2.31308569,TF×IDF:0.00207537
Term:国际,Freq:26,TF:0.00089723,IDF:2.31308569,TF×IDF:0.00207537
Term:厉害,Freq:26,TF:0.00089723,IDF:2.31308569,TF×IDF:0.00207537
Term:新年,Freq:30,TF:0.00103526,IDF:1.98857460,TF×IDF:0.0020587
Term:严惩,Freq:26,TF:0.00089723,IDF:2.28205145,TF×IDF:0.00204753
Term:谢谢,Freq:28,TF:0.00096625,IDF:2.11098100,TF×IDF:0.00203973
Term:扎堆,Freq:25,TF:0.00086272,IDF:2.32947610,TF×IDF:0.00200969
Term:新年快乐,Freq:25,TF:0.00086272,IDF:2.32947610,TF×IDF:0.00200969
Term:活动,Freq:24,TF:0.00082821,IDF:2.40202677,TF×IDF:0.00198939
Term:健康,Freq:28,TF:0.00096625,IDF:2.04547945,TF×IDF:0.00197644
Term:去过,Freq:24,TF:0.00082821,IDF:2.38272162,TF×IDF:0.0019734
Term:世界,Freq:25,TF:0.00086272,IDF:2.28205145,TF×IDF:0.00196877
Term:关心,Freq:24,TF:0.00082821,IDF:2.36423821,TF×IDF:0.00195809
Term:休息,Freq:22,TF:0.00075919,IDF:2.56835819,TF×IDF:0.00194988
Term:可怕,Freq:24,TF:0.00082821,IDF:2.34650944,TF×IDF:0.00194341
Term:估计,Freq:24,TF:0.00082821,IDF:2.34650944,TF×IDF:0.00194341
Term:自由,Freq:24,TF:0.00082821,IDF:2.34650944,TF×IDF:0.00194341
Term:支持,Freq:23,TF:0.00079370,IDF:2.44341946,TF×IDF:0.00193935
Term:报告,Freq:23,TF:0.00079370,IDF:2.44341946,TF×IDF:0.00193935
Term:小时,Freq:26,TF:0.00089723,IDF:2.14238946,TF×IDF:0.00192222
Term:全员,Freq:23,TF:0.00079370,IDF:2.40202677,TF×IDF:0.0019065
Term:传染,Freq:25,TF:0.00086272,IDF:2.20038141,TF×IDF:0.00189832
Term:细胞,Freq:18,TF:0.00062116,IDF:3.04547945,TF×IDF:0.00189173
Term:太难了,Freq:23,TF:0.00079370,IDF:2.38272162,TF×IDF:0.00189117
Term:通报,Freq:23,TF:0.00079370,IDF:2.38272162,TF×IDF:0.00189117
Term:绥化,Freq:24,TF:0.00082821,IDF:2.28205145,TF×IDF:0.00189002
Term:很快,Freq:23,TF:0.00079370,IDF:2.36423821,TF×IDF:0.0018765
Term:入境,Freq:22,TF:0.00075919,IDF:2.42223016,TF×IDF:0.00183894
Term:关系,Freq:23,TF:0.00079370,IDF:2.28205145,TF×IDF:0.00181127
Term:培训,Freq:22,TF:0.00075919,IDF:2.38272162,TF×IDF:0.00180895
Term:温暖,Freq:22,TF:0.00075919,IDF:2.38272162,TF×IDF:0.00180895
Term:社会,Freq:22,TF:0.00075919,IDF:2.36423821,TF×IDF:0.00179492
Term:没事,Freq:22,TF:0.00075919,IDF:2.36423821,TF×IDF:0.00179492
Term:书记,Freq:21,TF:0.00072468,IDF:2.44341946,TF×IDF:0.00177071
Term:瞒报,Freq:21,TF:0.00072468,IDF:2.42223016,TF×IDF:0.00175536
Term:学生,Freq:24,TF:0.00082821,IDF:2.11098100,TF×IDF:0.00174834
Term:买不到,Freq:19,TF:0.00065566,IDF:2.66526821,TF×IDF:0.00174753
Term:戴好,Freq:22,TF:0.00075919,IDF:2.29729142,TF×IDF:0.00174409
Term:收看,Freq:21,TF:0.00072468,IDF:2.40202677,TF×IDF:0.00174071
Term:回去,Freq:21,TF:0.00072468,IDF:2.40202677,TF×IDF:0.00174071
Term:区,Freq:35,TF:0.00120781,IDF:1.43269559,TF×IDF:0.00173042
Term:封闭,Freq:21,TF:0.00072468,IDF:2.38272162,TF×IDF:0.00172672
Term:儿子,Freq:20,TF:0.00069017,IDF:2.48917695,TF×IDF:0.00171797
Term:平凡,Freq:20,TF:0.00069017,IDF:2.48917695,TF×IDF:0.00171797
Term:家里,Freq:21,TF:0.00072468,IDF:2.36423821,TF×IDF:0.00171333
Term:保障,Freq:21,TF:0.00072468,IDF:2.36423821,TF×IDF:0.00171333
Term:领导,Freq:21,TF:0.00072468,IDF:2.36423821,TF×IDF:0.00171333
Term:B,Freq:18,TF:0.00062116,IDF:2.74444945,TF×IDF:0.00170474
